distance_from_base_(mm)	lateral_root_length_(mm)	order	averaged_diameter_(mm)
100.65252	5.278943	1	0.2932235
101.06757	1.6635011	1	0.2201464
102.65588	3.9226833	1	0.31608450000000005
103.72796	2.699087	1	0.21978973999999998
103.97309999999999	3.5819596	1	0.18585095
104.14844000000001	2.3417316	1	0.190502
108.61519	2.4911924	1	0.25340242
108.61519	6.39961	1	0.2874761
110.8039442	3.5661763000000004	1	0.25090164000000004
111.748569	7.2428539999999995	1	0.29882649
113.1544375	3.8337139999999996	1	0.21254350000000002
113.4533017	2.7007487	1	0.15113787
113.800832	2.4982826	1	0.19047845000000002
115.257944	2.8369325	1	0.20779328
117.032183	8.152222	1	0.3740696
118.2869574	2.6602075	1	0.18218907
119.082105	2.884198	1	0.2074614
120.107295	4.4177288	1	0.24821693
122.431144	6.4373463	1	0.3616442
123.6438	5.1153797	1	0.27512522
124.501165	1.8350206	1	0.2405955
126.71390099999999	3.57685	1	0.201278
127.1664	2.0958316	1	0.1858034
128.311811	4.2717674	1	0.1876733
129.440829	6.101284	1	0.33249773000000005
130.94872900000001	6.660743399999999	1	0.37150133
131.4445	0.7543749	1	0.17351624
132.572	3.7726584	1	0.31265160000000003
134.177426	5.234427999999999	1	0.35503708
134.294137	5.130194	1	0.29636636
135.671538	1.2646064000000001	1	0.16929097
136.868404	1.3404015999999999	1	0.16753655
137.418975	1.614599	1	0.17148402000000001
138.90985899999998	3.8644493000000004	1	0.28840203
139.020342	2.0876042999999997	1	0.22073852000000002
140.44648	0.9035559999999999	1	0.14818162
140.640413	1.9645369	1	0.17660430000000002
142.41009400000002	1.8160794999999998	1	0.14814949
142.41009400000002	4.7469273	1	0.39366829999999997
142.41009400000002	1.585542	1	0.20810637999999998
144.58769260000003	3.5857347	1	0.25089838
145.8842252	3.7828442	1	0.27523536000000004
148.165613	3.1042933	1	0.31752646
149.0385525	2.2817962	1	0.25795873
150.83133300000003	1.5325600000000001	1	0.2116487
151.477244	3.9750934	1	0.2463055
152.740111	2.5959826	1	0.4076689
154.02191900000003	2.2256759	1	0.19047874999999997
154.765467	1.9246852	1	0.21572858
155.41623500000003	2.8204823	1	0.24758695
156.773648	1.2002397	1	0.22211535000000002
157.20132	1.8713435999999999	1	0.21164814
157.870024	3.3954465000000003	1	0.37926976
159.04521400000002	1.8551867999999998	1	0.23280734
159.999007	2.9914105	1	0.3642533
160.75750200000002	1.6080521	1	0.1861577
165.35896200000002	1.2814661999999999	1	0.35992472999999997
165.89153000000002	1.5974773	1	0.22358947
167.28574700000001	1.4489046	1	0.16366523
167.66856800000002	0.9107751399999999	1	0.36974306999999995
168.76721500000002	0.31873672999999997	1	0.26697792000000004
171.63656200000003	1.5982044000000002	1	0.35450384
171.79370100000003	0.7387905	1	0.21859813
173.332175	0.41908924000000003	1	0.3914965
176.32646400000002	1.776063	1	0.25610749
179.054644	0.20072046999999998	1	0.25398288
179.91672400000002	0.732501	1	0.27518263
183.44964700000003	1.1010529	1	0.18881673000000002
187.12847480000002	0.9479074999999999	1	0.2408656
187.58456420000002	0.5911288800000001	1	0.18237326
188.08087970000003	0.6122029	1	0.20796267000000002
191.57530000000003	0.44286686999999997	1	0.23275172
192.49717800000002	0.21276351	1	0.15504043
377.6443790000001	0.0	1	0.9706090229923235
